# Joint metrics table generated from MetricsOutput.tsv files parsed with file_parser.py / Parse_section_tsv.
# WORKFLOW_TYPE and WORKFLOW_VERSION identify whether each row came from DRAGEN or LocalApp.
# RECORD_TYPE identifies DNA_SAMPLE, RNA_SAMPLE, LOWER_THRESHOLD, or UPPER_THRESHOLD rows.
# DNA-specific metric columns use the DNA_ prefix. RNA-specific metric columns use the RNA_ prefix. Metadata columns do not use DNA_ or RNA_ prefixes.
# Interpret metrics cautiously when multiple workflows contribute data because similarly named metrics can be generated or formatted differently across workflows.
SAMPLE_ID	RUN	WORKFLOW_TYPE	WORKFLOW_VERSION	RECORD_TYPE	COMPLETED_ALL_STEPS	FAILED_STEPS	PCT_PF_READS	PCT_Q30_R1	PCT_Q30_R2	STEPS_NOT_EXECUTED	DNA_ALLELE_DOSAGE_RATIO	DNA_CONTAMINATION_P_VALUE	DNA_CONTAMINATION_SCORE	DNA_COVERAGE_MAD	DNA_EXCESSIVE_TF	DNA_GENE_SCALED_MAD	DNA_MEAN_FAMILY_SIZE	DNA_MEAN_TARGET_COVERAGE	DNA_MEDIAN_BIN_COUNT_CNV_TARGET	DNA_MEDIAN_EXON_COVERAGE	DNA_MEDIAN_INSERT_SIZE	DNA_MEDIAN_TARGET_COVERAGE	DNA_MEDIAN_TARGET_HRD_COVERAGE	DNA_PCT_ALIGNED_READS	DNA_PCT_CHIMERIC_READS	DNA_PCT_CONTAMINATION_EST	DNA_PCT_EXON_100X	DNA_PCT_EXON_50X	DNA_PCT_PF_UQ_READS	DNA_PCT_Q30_BASES	DNA_PCT_READ_ENRICHMENT	DNA_PCT_SOFT_CLIPPED_BASES	DNA_PCT_TARGET_0_4X_MEAN	DNA_PCT_TARGET_100X	DNA_PCT_TARGET_250X	DNA_PCT_TARGET_50X	DNA_PCT_TARGET_HRD_50X	DNA_PCT_USABLE_UMI_READS	DNA_TOTAL_PF_READS	DNA_USABLE_MSI_SITES	RNA_GENE_ABOVE_MEDIAN_CUTOFF	RNA_GENE_MEDIAN_COVERAGE	RNA_MEDIAN_CV_GENE_500X	RNA_MEDIAN_INSERT_SIZE	RNA_PCT_CHIMERIC_READS	RNA_PCT_ON_TARGET_READS	RNA_PCT_Q30_BASES	RNA_PCT_SOFT_CLIPPED_BASES	RNA_SCALED_MEDIAN_GENE_COVERAGE	RNA_TOTAL_ON_TARGET_READS	RNA_TOTAL_PF_READS
IPD0071-D01-d01-A04_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	1.000	494	0.120	NA	NA	3.2	512.7	6.5	515	104	470.0	NA	98.8	0.66	1.3	98.7	99.3	100.0	NA	81.3	NA	91.1	97.4	85.8	NA	NA	99.9	95739072	92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD0071-R03-d01-A04_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.58	105	0.25	92.9	NA	NA	5184.8	25700888	27656108
IPD0511-R03-P91-A28-0003_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70.79	86	0.17	94.4	NA	NA	3036.1	16933411	17932946
IPD0781-D01-P91-A29-0003_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	1.000	905	0.103	NA	NA	4.2	296.1	4.6	278	74	266.0	NA	98.3	3.18	1.0	97.2	99.2	100.0	NA	71.0	NA	93.6	95.7	56.4	NA	NA	99.9	107882508	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD0781-R03-P91-A29-0003_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.03	91	0.21	92.5	NA	NA	4544.5	22834405	24684302
IPD0820-D01-P91-F08-0013_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	1.000	764	0.153	NA	NA	2.0	657.5	5.7	520	137	496.0	NA	97.7	0.25	1.2	97.8	98.8	100.0	NA	80.6	NA	85.2	96.9	86.7	NA	NA	99.8	60239036	89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD0820-R03-P91-F08-0015_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.24	129	0.66	88.4	NA	NA	5036.3	25942631	29351868
IPD1462-D01-P12-A08_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	0.081	2068	0.131	NA	NA	4.4	436.8	5.5	422	108	414.0	NA	98.6	0.93	4.5	98.4	99.2	100.0	NA	81.0	NA	93.9	97.7	85.3	NA	NA	99.9	108932946	111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1462-D01-P22-A08_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	0.002	2470	0.140	NA	NA	2.5	797.1	10.3	772	104	768.0	NA	98.4	0.23	3.6	98.7	99.2	100.0	NA	80.2	NA	93.7	98.3	95.6	NA	NA	99.9	118275334	119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1480-R03-p11-AXX_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59.68	95	0.15	94.0	NA	NA	5452.2	26855898	28578716
IPD1491-D01-d01-A25_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	0.019	2787	0.129	NA	NA	2.7	619.9	7.4	555	106	550.0	NA	99.1	0.41	4.6	98.5	99.2	100.0	NA	82.0	NA	94.2	97.7	94.1	NA	NA	99.9	96145130	113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1491-R03-d01-A25_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61.21	105	0.17	95.5	NA	NA	4476.5	21811336	22836226
IPD1492-D01-r01-A05_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	0.010	5388	0.198	NA	NA	2.8	537.9	6.1	482	110	431.0	NA	96.3	1.62	9.3	98.2	99.2	100.0	NA	76.6	NA	82.9	97.2	75.6	NA	NA	99.9	92075136	98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1492-R03-r01-A05_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48.32	115	0.18	93.6	NA	NA	557.2	2587106	2763064
IPD1493-D01-e01-A18_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	1.000	281	0.103	NA	NA	3.2	517.4	6.8	518	105	492.0	NA	98.4	0.95	0.9	98.7	99.2	100.0	NA	79.9	NA	94.9	97.7	92.7	NA	NA	99.9	99408212	106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1493-R03-e01-A18_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.92	105	0.13	95.3	NA	NA	4818.8	24182203	25370954
IPD1495-D01-d01-A04_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	1.000	816	0.105	NA	NA	3.4	565.8	7.8	565	100	549.0	NA	99.1	1.07	0.8	98.8	99.4	100.0	NA	80.0	NA	94.8	98.3	93.5	NA	NA	99.9	118150762	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1495-R03-d01-A04_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.07	94	0.15	93.3	NA	NA	4843.2	23189006	24845696
IPD1496-D01-P01-A09_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	1.000	65	0.082	NA	NA	3.2	670.8	9.0	684	109	676.0	NA	98.9	0.23	0.4	98.3	99.1	100.0	NA	81.2	NA	92.8	97.9	93.8	NA	NA	99.9	122363720	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1496-D01-P02-A09_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	1.000	97	0.121	NA	NA	14.2	109.8	1.6	112	92	108.0	NA	97.9	0.12	2.1	61.2	93.6	100.0	NA	84.7	NA	94.1	57.5	0.2	NA	NA	99.9	99903800	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1496-R03-P01-A09_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.97	107	0.13	94.8	NA	NA	5145.9	24381359	25730494
IPD1496-R03-P02-A09_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.44	123	0.17	93.5	NA	NA	5905.5	26700826	28572234
IPD1497-D01-d01-A05_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	0.239	2356	0.125	NA	NA	3.9	444.0	5.9	444	105	427.0	NA	98.9	0.81	5.5	98.5	99.2	100.0	NA	81.9	NA	95.1	97.8	88.7	NA	NA	99.9	99013190	108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1497-R03-d01-A05_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62.55	93	0.19	94.2	NA	NA	3802.8	19257241	20444726
IPD1498-D01-d01-A09_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	1.000	134	0.088	NA	NA	4.0	424.0	6.0	442	99	431.0	NA	98.6	0.53	0.6	98.3	99.1	100.0	NA	81.9	NA	95.3	97.3	90.7	NA	NA	99.9	102746502	103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1498-R03-d01-A09_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70.14	93	0.13	94.2	NA	NA	4190.8	22262999	23642682
IPD1499-D01-M01-A10_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	0.002	3646	0.161	NA	NA	2.7	750.0	8.0	637	112	617.0	NA	99.1	1.01	3.7	99.0	99.4	100.0	NA	81.6	NA	90.1	98.4	93.7	NA	NA	99.9	109838090	107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1499-R03-M01-A10_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51.78	98	0.15	94.6	NA	NA	5949.5	27161335	28725122
IPD1500-D01-r01-A06_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	0.000	7118	0.195	NA	NA	3.7	544.0	7.3	512	96	496.0	NA	98.8	0.18	11.1	97.9	98.9	100.0	NA	83.3	NA	91.6	97.0	88.8	NA	NA	99.9	122328116	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1500-R03-r01-A06_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	72.20	104	0.17	94.4	NA	NA	5056.1	27620517	29268648
IPD1503-D01-d01-A09_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	0.058	2136	0.148	NA	NA	3.5	426.9	5.9	433	98	424.0	NA	96.0	0.30	4.2	98.2	99.0	100.0	NA	80.6	NA	94.7	97.2	88.3	NA	NA	99.9	95764966	103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1503-R03-d01-A09_P	240927_A02134_0024_BHHGG7DRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	85.4	95.1	94.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	71.40	92	0.18	94.1	NA	NA	2842.2	15917247	16923408
LSL_Guideline	241115_A02134_0038_BHKT5WDRX5	dragen	2.6.2.4	LOWER_THRESHOLD	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0.000	NA	NA	1.0	150	70	NA	NA	NA	NA	NA	NA	90.0	NA	NA	NA	NA	NA	NA	NA	NA	50.0	NA	NA	40	NA	NA	0.00	80	NA	NA	NA	NA	NA	2500000	NA
USL_Guideline	241115_A02134_0038_BHKT5WDRX5	dragen	2.6.2.4	UPPER_THRESHOLD	NA	NA	NA	NA	NA	NA	NA	NA	1457	NA	0	0.134	NA	NA	NA	NA	NA	NA	NA	NA	8.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.93	NA	NA	NA	NA	NA	NA	NA	NA
TVD0016	241115_A02134_0038_BHKT5WDRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0014	241115_A02134_0038_BHKT5WDRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVR0017	241115_A02134_0038_BHKT5WDRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVD0018	241115_A02134_0038_BHKT5WDRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0020	241115_A02134_0038_BHKT5WDRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVD0022	241115_A02134_0038_BHKT5WDRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0024	241115_A02134_0038_BHKT5WDRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVD0026	241115_A02134_0038_BHKT5WDRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0028	241115_A02134_0038_BHKT5WDRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVD0030	241115_A02134_0038_BHKT5WDRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0032	241115_A02134_0038_BHKT5WDRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVD0034	241115_A02134_0038_BHKT5WDRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0036	241115_A02134_0038_BHKT5WDRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVD0038	241115_A02134_0038_BHKT5WDRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0040	241115_A02134_0038_BHKT5WDRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
TVD0042	241115_A02134_0038_BHKT5WDRX5	dragen	2.6.2.4	DNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	50.000	NA	300	NA	0	0.066	1.2	929.2	9.3	1024	148	947.0	284.0	99.3	0.11	17.0	99.8	99.8	NA	90.95	63.2	2.16	92.7	99.4	97.0	99.7	99.6	99.7	95960542	117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TVR0044	241115_A02134_0038_BHKT5WDRX5	dragen	2.6.2.4	RNA_SAMPLE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	966.24	0.48	150	0.46	71.4	90.60	2.18	2682.5	11889549	16645676
LSL_Guideline	241115_A02134_0038_BHKT5WDRX5	localapp	ruo-2.2.0.12	LOWER_THRESHOLD	NA	NA	NA	NA	NA	NA	NA	0.000	0	0.000	NA	NA	NA	NA	1.0	150	70	NA	NA	NA	NA	NA	NA	90.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	NA	NA	0.00	80	NA	NA	NA	NA	NA	9000000	NA
USL_Guideline	241115_A02134_0038_BHKT5WDRX5	localapp	ruo-2.2.0.12	UPPER_THRESHOLD	NA	NA	NA	NA	NA	NA	NA	0.049	3106	0.210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.00	NA	NA	NA	NA	NA	NA	NA	NA
IPD1547-D01-P01-A09_P	241115_A02134_0038_BHKT5WDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	79.1	93.3	91.9	NA	NA	1.000	181	0.092	NA	NA	5.2	1135.8	14.7	1041	109	1011.0	NA	99.0	1.02	0.2	99.3	99.6	100.0	NA	79.5	NA	96.4	99.3	98.5	NA	NA	99.9	351578454	124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1547-R03-P01-A09_P	241115_A02134_0038_BHKT5WDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	79.1	93.3	91.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.09	113	0.14	94.5	NA	NA	5894.7	28347656	29997878
IPD1548-D01-P01-A28_P	241115_A02134_0038_BHKT5WDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	79.1	93.3	91.9	NA	NA	1.000	117	0.073	NA	NA	9.5	635.5	9.1	608	96	584.0	NA	98.4	1.10	0.4	99.3	99.6	100.0	NA	75.7	NA	96.7	99.3	96.9	NA	NA	100.0	422027980	124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1548-R03-P01-A28_P	241115_A02134_0038_BHKT5WDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	79.1	93.3	91.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65.62	100	0.20	94.0	NA	NA	4824.9	28193639	29997266
IPD1549-D01-P01-A08_P	241115_A02134_0038_BHKT5WDRX5	localapp	ruo-2.2.0.12	DNA_SAMPLE	TRUE	NA	79.1	93.3	91.9	NA	NA	1.000	1150	0.134	NA	NA	10.6	394.2	5.5	313	81	308.0	NA	98.2	3.95	1.2	98.8	99.5	100.0	NA	66.1	NA	94.9	98.8	74.1	NA	NA	100.0	367789430	121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPD1549-R03-P01-A08_P	241115_A02134_0038_BHKT5WDRX5	localapp	ruo-2.2.0.12	RNA_SAMPLE	TRUE	NA	79.1	93.3	91.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.05	88	0.18	94.6	NA	NA	6417.4	28364954	29997796
